"CENSUS_ID","LENGTH","PRE_DIR","the_geom","STREET_NAM","STREET_TYP","SUF_DIR","ROUTE_NUMB","CFCC","F_ZLEVEL","T_ZLEVEL","TRAVEL_DIR","ONEWAY","SPEED","L_MUNI","R_MUNI","GlobalID"
"120,447","857.099",,"MULTILINESTRING ((-77.19485727492423 38.99258824572543, -77.19495892462679 38.992609012355786, -77.19503065522647 38.992625023800784, -77.1950993197516 38.9926455876639, -77.19539912819872 38.992757146775396, -77.19547573281343 38.99278627748128, -77.1955360577631 38.99281277612475, -77.19568358835963 38.9928850329646, -77.19597299349512 38.99305109330663, -77.19609417474531 38.99313703671125, -77.1962651846432 38.99327051743593, -77.19635823345594 38.993361570378845, -77.19644997138813 38.99345562788645, -77.19660177237425 38.99363976474355, -77.19668522915234 38.99376077865319, -77.19674932426526 38.99387796414561, -77.19688519239867 38.99418491209623))","OAKLYN","DR",,,"A30","0","0","2",,"35","MCG","MCG","06050db3-e1f5-4355-acee-4f5cb6406888"
"119,534","76.5802",,"MULTILINESTRING ((-77.19459198190695 38.99255350754749, -77.19475742151684 38.99258103248312, -77.19485727492423 38.99258824572543))","OAKLYN","DR",,,"A30","0","0","2",,"35","MCG","MCG","d4f169ac-11c7-4e18-8e62-d4d33dda1122"
"131,639","278.899",,"MULTILINESTRING ((-77.09607832043588 38.99274051213576, -77.09705323111889 38.99265347542713))","BATTERY","LN",,,"A30","0","0","2",,"40","MCG","MCG","7dad9ad2-2a7e-44ec-b276-3a3f26f65a66"
"129,072","386.904",,"MULTILINESTRING ((-77.09705323111889 38.99265347542713, -77.09729830623527 38.99369844119097))","WOODMONT","AVE",,,"A40","0","0","2",,"30","MCG","MCG","b6ea54c6-1b9e-4ce8-80fd-99e8b6e8ebd3"
"119,533","1,140.87",,"MULTILINESTRING ((-77.19143741134063 38.99406001556871, -77.19153449973535 38.99385607281355, -77.1916067695678 38.99374535430175, -77.19181675463007 38.993492576554885, -77.19194787763841 38.993351986447514, -77.19210363251537 38.99321315828415, -77.19226998290372 38.99308950034651, -77.19246009283655 38.9929694919446, -77.19266430947158 38.99286241561409, -77.19290372187659 38.992760001194775, -77.193140107827 38.99267663915469, -77.19337082155936 38.992610532243575, -77.19358049051445 38.99256865667704, -77.19378757179709 38.99254523294981, -77.19388255299756 38.99253984178881, -77.19402239056537 38.992533432098014, -77.19409846691691 38.99253038812905, -77.19426870049541 38.99254194684234, -77.19436500641842 38.992538525889216, -77.19459198190695 38.99255350754749))","OAKLYN","DR",,,"A30","0","0","2",,"35","MCG","MCG","254b676c-e3f3-4757-a0e3-023c70dfb23f"
"74,178","1,082.34",,"MULTILINESTRING ((-77.16175199060667 38.992576498837934, -77.1617597317277 38.99308041106034, -77.16173727393904 38.99345548903485, -77.1616197347915 38.99379371697802, -77.16148928655832 38.9940641776313, -77.16141091790576 38.99422147722816, -77.1612364700247 38.994484790808976, -77.16101774824965 38.994813118740375, -77.16094849081847 38.994916006699164, -77.16086081137594 38.99504114229309, -77.16078367332237 38.99516017198044, -77.16072977684513 38.99524896696881, -77.16070393602607 38.995297395455175, -77.16067022829651 38.995367371559524))","SEVEN LOCKS","RD",,,"A30","0","0","2",,"40","MCG","MCG","4b99e4ce-c0b6-4571-8d05-00fb66cda9de"
"101,351","746.024",,"MULTILINESTRING ((-77.09705323111889 38.99265347542713, -77.09747671917849 38.99262695357589, -77.09795913435278 38.992596691099635, -77.09829203058621 38.99257581820129, -77.09859414477685 38.992556859323976, -77.09885623981344 38.99254042155833, -77.09905675907028 38.992520002391444, -77.09966534958353 38.9924580495099))","BATTERY","LN",,,"A30","0","0","2",,"40","MCG","MCG","c5f9a4ee-b01b-4323-9a3b-7397a07035c4"
"17,368","495.284",,"MULTILINESTRING ((-77.21047425077357 38.99221823162649, -77.21054397442657 38.992298161320456, -77.2106246735137 38.99237146367981, -77.21070532886452 38.9924299223139, -77.2107916841422 38.99248245041772, -77.210883300811 38.99252947665982, -77.21118932976943 38.99265419739129, -77.2115534234391 38.99278241651512, -77.21194607489161 38.99290080163957))","BRICKYARD","RD",,,"A30","0","0","2",,"30","MCG","MCG","a2e9575d-1a78-4582-ac01-9b17ec414e0a"
"53,891","270.673",,"MULTILINESTRING ((-77.14217206975218 38.97066642883279, -77.14237877951142 38.97092067116622, -77.14269343398627 38.97128821421239))","MAC ARTHUR","BLVD",,,"A30","0","0","2",,"40","GE","MCG","df240d81-0f8f-4eab-b24f-6cbd2da2be29"
"101,329","522.799",,"MULTILINESTRING ((-77.04954930177989 38.99236577022366, -77.04973187965138 38.99245673050448, -77.04978863365851 38.99248613614801, -77.04988190393154 38.992534490258215, -77.04994305957054 38.992567326073065, -77.05008384981994 38.99264680557009, -77.05015424503235 38.99268650246567, -77.05022464038353 38.99272628489641, -77.05029503575287 38.992765981706576, -77.0503654312007 38.992805678474035, -77.05043582733414 38.99284623277904, -77.05050622518931 38.992887474366164, -77.05057662203174 38.99292880058806, -77.05064701883421 38.99296995561155, -77.05071741577954 38.99301119707099, -77.05078517285682 38.99305080824925, -77.05103597142475 38.99320960730926))","GRUBB","RD",,,"A30","0","0","2",,"25","MCG","MCG","09d90ac1-53dc-4a4c-b312-7cd5f0f9d8c2"
"106,046","651.181",,"MULTILINESTRING ((-77.22850910292622 38.99213883071715, -77.22856261051533 38.99223002095045, -77.2285865467359 38.99228840603774, -77.22870061340673 38.992749205157295, -77.22874772038324 38.99290132863367, -77.22877962896878 38.992977030809584, -77.22884820285019 38.993102770402764, -77.22908032119106 38.99348328378982, -77.2292155355175 38.99368062422032, -77.22930915432858 38.99379885023692))","MAC ARTHUR","BLVD",,,"A30","0","0","2",,"30","MCG","MCG","8b79c73a-e208-45ca-bf69-7a44d33ad212"
"13,827","591.206",,"MULTILINESTRING ((-77.09966534958353 38.9924580495099, -77.09995073562648 38.99242914821557, -77.10023876292261 38.99240135917685, -77.10124003780349 38.99230465411358, -77.10156676059815 38.992273138547176, -77.10172946162155 38.992257381446294))","BATTERY","LN",,,"A30","0","0","2",,"40","MCG","MCG","48931b66-8083-46c5-88d7-ff71db4ca6e6"
"41,032","260.18",,"MULTILINESTRING ((-77.04876621485366 38.99199611543943, -77.04888719277854 38.9920475468037, -77.04895758260473 38.992081238659374, -77.04902797243804 38.99211484399381, -77.04909836221918 38.99214827722908, -77.04916875194883 38.992181540166804, -77.04923914168387 38.99221471568248, -77.04930953154432 38.99224797763426, -77.0493799228034 38.99228149717736, -77.04954930177989 38.99236577022366))","GRUBB","RD",,,"A30","0","0","2",,"25","MCG","MCG","763a1ed6-acaa-4c09-a354-1b31adc5867b"
"13,828","278.207",,"MULTILINESTRING ((-77.10172946162155 38.992257381446294, -77.10190579557664 38.99224040964819, -77.10202406610695 38.99221679694613, -77.1021264951798 38.992187019228815, -77.10221220825416 38.992154596807055, -77.10230538046119 38.992110155359065, -77.10238051912715 38.992064355869914, -77.10243938855224 38.992019944331616, -77.10255928886846 38.99190683585351))","BATTERY","LN",,,"A30","0","0","2",,"40","MCG","MCG","4be96378-e104-45d9-b0c7-8c2310547dfa"
"41,030","289.704",,"MULTILINESTRING ((-77.04786658845562 38.99162298543172, -77.04804254894096 38.99168949650811, -77.04811293934691 38.99172516257069, -77.0481833265666 38.99175430665509, -77.04825371263102 38.991783364218726, -77.04832409875343 38.99181242264065, -77.0483944847583 38.99184122338563, -77.04846487058659 38.99186968087575, -77.04853525635446 38.99189796716762, -77.04876621485366 38.99199611543943))","GRUBB","RD",,,"A40","0","0","2",,"25","MCG","MCG","fd266875-bf23-4398-ad76-6d231bebe149"
"106,045","534.404",,"MULTILINESTRING ((-77.22706106160193 38.991236422731845, -77.22766611612177 38.99161921788687, -77.2282703290283 38.99187493608639, -77.22850910292622 38.99213883071715))","MAC ARTHUR","BLVD",,,"A30","0","0","2",,"30","MCG","MCG","43f65057-6de0-4dbc-897c-b978491e3e32"
"117,417","209.802",,"MULTILINESTRING ((-77.04720717211089 38.99136438474649, -77.04726831684425 38.99138589686116, -77.04733870177284 38.991414355031566, -77.04740908675761 38.991442813159495, -77.04747947294231 38.991472987306615, -77.04754985804189 38.991501446250304, -77.04762024377756 38.991529045768914, -77.04769062841402 38.9915566461463, -77.04786658845562 38.99162298543172))","GRUBB","RD",,,"A40","0","0","2",,"25","MCG","MCG","1d2f048e-8371-4f17-a69c-ffeb59764f1b"
"89,080","494.162",,"MULTILINESTRING ((-77.09673080976125 38.99132018695944, -77.09696079309295 38.99227086922316, -77.09705323111889 38.99265347542713))","WOODMONT","AVE",,,"A40","0","0","2",,"30","MCG","MCG","06ff6b99-6ba4-44f4-82b2-9c39a21ddd30"
"76,501","427.324",,"MULTILINESTRING ((-77.01011897206327 38.99156901901665, -77.01025397178955 38.99146201057102, -77.01033224707685 38.99141386746839, -77.010414483155 38.99138494475589, -77.01052134867837 38.99136562972009, -77.01062029989076 38.991359185320256, -77.01073024939173 38.991369128446024, -77.01080325509754 38.9913756427621, -77.01106668859144 38.99138068074437, -77.01143566901175 38.991365286274004, -77.01153066309605 38.99136527694871))","SLIGO","AVE",,,"A40","0","0","2",,"30","MCG","MCG","5cf3c850-0177-4283-a3c7-d1953e622564"
